Doctor,Doctor_ID
Matthew Smith,DDE9BEC
Samantha Davies,DEA8067
Tiffany Mitchell,D76B307
Kevin Wells,D5E8668
Kathleen Hanna,D3018E5
Taylor Newton,D1F795F
Kelly Olson,D1B63E9
Suzanne Thomas,D661BC7
Daniel Ferguson,D9A7156
Heather Day,D301C81
John Duncan,D0B8A33
Douglas Mayo,D0FF279
Kenneth Fletcher,D70E141
Theresa Freeman,DAD6FC8
Roberta Stewart,D5D9DBD
Maria Dougherty,D24E6E1
Erica Spencer,D7C853B
Justin Kim,D0E9E87
Justin Moore Jr.,D2E6FD4
Denise Galloway,D9971AB
Krista Smith,D6C8B90
Gregory Smith,DD4398D
Vanessa Newton,DE8577B
Donna Martinez MD,DCB5E9B
Stephanie Kramer,D1A47F6
Angela Contreras,D420E44
Wendy Glenn,DFF7607
James Ellis,D43665D
Jared Bruce Jr.,D124E13
Brandy Mitchell,DBB3FFF
Jacob Huynh,D4471EF
Kristina Frazier,D831608
John Hartman,DDE5ABB
Heather Garcia,D6F409F
Lynn Young,D4F242B
Emma Allison,DC54DA7
Laura Myers,D46BB83
Travis Parsons,D6AC92B
Christine Johnson,DD75016
Emily Taylor,D7FF2DB
William Reynolds,DB752CE
Jennifer Carter,D6FDA0A
Matthew Thomas,DBEE23E
Mary Logan,D568E7E
Kristin Martinez,D4B031B
Daniel Murphy,D4C07EF
Emily Patterson,DB779D8
Heather Smith,D9AA51E
John Smith,D611732
Cameron Young,DB61F59
Vicki Nguyen,D8AAACF
Mary Moss,DFC82E7
Alexander Garcia,D71CC1B
Patrick Burns,D267E38
Kayla Powers,D4164B7
Julia Cox,D39B180
Penny Pruitt,DF76095
Mrs. Lori Hurst PhD,DC5CCD2
Stephen Carr,D32B897
Jacob Daniel,D351F78
Tyler Braun,D4D266D
Cindy Ellis,DB49D45
Megan Hahn,D55E132
Eric Kelly,DA05BB3
Jennifer Larson,DDCA904
William Hess,D530F30
Patricia Dunn,D478649
Jack Jackson,D05E0F4
Jonathan Drake,D54A875
Ian Benitez,D1FCEB5
Jamie Baker,D005B75
